course_code,course_name,units_of_credit,overview,offering_terms,campus,faculty
COMP4418,Knowledge Representation and Reasoning,6 Units of Credit,How can you timetable classes to fit everyone’s schedule? Could tactical voting occur in Australia? Can a single computer program play and solve both sudoku and minesweeper?,Term 3,Sydney,Faculty of Engineering
COMP4511,User Interface Design and Construction,6 Units of Credit,"COMP4511 is a hands-on project-based course designed to build and solidify the basic skills you acquired in COMP3511/9511. Students will be required to build their interface at least three times (remember the process is iterative!), once as a low fidelity prototype, moving to a higher fidelity electronic prototype and finishing with a beta version of the app. This semester, we will be using React to help us write the app. The course will provide you with a basic understanding and the building blocks required to create your app, and let you guide the design and development process.",Term 3,Sydney,Faculty of Engineering
COMP6080,Web Front-End Programming,6 Units of Credit,"COMP6080 aims to develop your confidence in building modern web-based applications to industry standards. This occurs through the introduction of a range of basic concepts surrounding HTML, CSS, Vanilla Javascript, Javascript Declarative Frameworks, UI/UX Principles, Accessibility, Network & Asynchronous Programming, Front-end Testing, and other basic infrastructure.","Term 1, Term 3",Sydney,Faculty of Engineering
COMP6131,Software Security Analysis,6 Units of Credit,"This course is designed to provide a systematic exploration of automated source code analysis and verification techniques, with the aim of gaining hands-on experience in implementing code analysis tools to identify common yet important software vulnerabilities in software systems. By taking this course, students can put static analysis and verification theories and advanced techniques into practice. They will be able to build source code analysis tools (e.g., written in C++ and Python) based on modern compilers and popular open-source frameworks to scan, comprehend and detect programming mistakes and vulnerabilities with the purpose of enhancing code quality and security.",Term 2,Sydney,Faculty of Engineering
COMP6441,Security Engineering and Cyber Security,6 Units of Credit,"In this introductory cybersecurity course we look at Security Engineering – the engineering principles behind designing, monitoring, and maintaining security in the face of an adversary.  We explore selected case studies and examine the practical principles behind effective security. We introduce the fundamental ideas of security and then we look at how these are applied in current cyber security practice. We will pay particular attention to systems which fail and the importance of thinking like an attacker. This course involves analysis, critical thinking and design. A cunning and devious mind will be an asset. Although our main concern is cybersecurity, the engineering principles we cover apply to security more generally.",Term 2,Sydney,Faculty of Engineering
COMP6443,Web Application Security and Testing,6 Units of Credit,Web applications are currently the predominant source of software vulnerabilities exploited in in online attacks. There is a growing need and growing demand for web programmers to be security aware.,Term 1,Sydney,Faculty of Engineering
COMP6445,Digital Forensics,6 Units of Credit,"The subject of Digital Forensics is a blend of technical expertise, legal procedures for an expert witness, persuasive report writing and your performance in the theatre of court. This course covers both forensic theory / professional practice, and looks at the underlying engineering of hiding, finding, interpreting and responding to traces. Students will use standard forensic tools to extract, carve and analyse data as well as learning the low-level technical skills and knowledge underlying them. Students will also be introduced to advanced topics such as Cloud Forensics and latest anti-forensics techniques.",Term 3,Sydney,Faculty of Engineering
COMP6447,System and Software Security Assessment,6 Units of Credit,"This course looks at cyber attack and defence. Students learn how to assess and identify vulnerabilities and how vulnerabilities are exploited. Students learn the principles and theory of exploitation, the common security models, and how approaches to exploitation and defence have evolved over time.",Term 3,Sydney,Faculty of Engineering
COMP6448,Security Engineering Masterclass,6 Units of Credit,This is an occasional course that will involve a visiting expert in the security area giving a series of lectures and workshops on an advanced topic in cyber security. The course may run in intensive mode or in standard in-person weekly or fortnightly mode. The precise timing and topics depend on the visitor.,,Sydney,Faculty of Engineering
COMP6451,Cryptocurrency and Distributed Ledger Technologies,6 Units of Credit,"Cryptocurrency and Distributed Ledger Technologies are a currently emerging area of technology that draws on multiple areas of computer science to implement systems that provide secure infrastructure for important societal functions, including financial transactions and the management of commercial trust relationships.",,Sydney,Faculty of Engineering
COMP6452,Software Architecture for Blockchain Applications,6 Units of Credit,"This course addresses the knowledge that is needed in order to build applications based on blockchain technology, by offering an architectural view of software systems that make beneficial use of it. It provides guidance on assessing the suitability of blockchain, on the roles blockchain can play in an architecture, on designing blockchain applications, and on assessing different architecture designs and tradeoffs. It also serves as a reference on blockchain design patterns and design analysis, and refers to practical examples of blockchain-based applications.",Term 2,Sydney,Faculty of Engineering
COMP6453,Applied Cryptography,6 Units of Credit,"Cryptography is an indispensable tool for protecting information in computer systems. This course is designed to provide an understanding of Cryptographic algorithms and Cryptanalysis with an aim of using them to protect computer systems, networks, and data protection. The course will emphasise on the foundational aspects of encryption and authentication techniques with an aim to use them correctly and effectively in applications.",Term 1,Sydney,Faculty of Engineering
COMP6713,Natural Language Processing,6 Units of Credit,Natural language processing (NLP) is a branch of artificial intelligence that deals with computational approaches used to process text.,Term 1,Sydney,Faculty of Engineering
COMP6714,Information Retrieval and Web Search,6 Units of Credit,Information retrieval (IR) is the process of retrieving relevant information by specifying a query to an IR system. Web search is one form of an IR system that allows users to search information on the Internet based on a search engine. It involves computing a numeric score on how well each result matches the query and ranking the results according to this score.,Term 3,Sydney,Faculty of Engineering
COMP6721,(In-)Formal Methods: The Lost Art,6 Units of Credit,"(In-)Formal Methods are practical structuring and design patterns that encourage programming that is easy to understand and to maintain. They are only a part of the large body of “good programming practices,” distinguished from that larger set because –for the methods we consider– the computer-science community has determined the science behind the structures: we know why they are effective.",,Sydney,Faculty of Engineering
COMP6733,Internet of Things Experimental Design Studio,6 Units of Credit,"Internet of Things (IoT) will play a key role in the next frontier of computing. The new course will provide an experimental approach to cover fundamental design principles behind building IoT applications, with hands-on experience with a popular end-to-end IoT platform.Topics covered will include a selection from: IoT technology and services, IoT system architecture, Low Power communications (Bluetooth Low Energy and 6LoWPAN) and security issues, sensors and sensor data smoothing and filtering, light-weight in-situ machine learning and data fusion, inertial sensing, activity recognition and fitness morning, voice-based stress level sensing, biometric authentication, anonymity, cloud services for IoT. This course assumes familiarity with a high level programming language such as Java and Python AND a low level programming language such as C.",Term 2,Sydney,Faculty of Engineering
COMP6741,Algorithms for Intractable Problems,6 Units of Credit,"The course focuses on algorithms for solving intractable computational problems, so-called NP-hard problems. Ideally, one would want to design algorithms that solve each instance exactly and in polynomial time. But since no polynomial time algorithm is known for any NP-hard problem, we will relax these requirements and design algorithms that either do not solve the problem exactly, that only solve a subset of instances, or whose worst-case running time is super-polynomial in the input size or some other parameter of the input.",,Sydney,Faculty of Engineering
COMP6752,Modelling Concurrent Systems,6 Units of Credit,"This course tries to make students familiar with state-of-the-art techniques in modelling concurrent systems. This is done by comparing some of the more successful models of concurrency found in the literature. The focus will be on the rationale behind the design decisions underlying those models, viewed from philosophical, mathematical and computational perspectives. The course contains important background knowledge for students aiming at a scientific career in which the design of mathematical models of system behaviour is a component.",,Sydney,Faculty of Engineering
COMP6771,Advanced C++ Programming,6 Units of Credit,"COMP6771 is an advanced programming course, teaching practical aspects of intermediate/advanced C++ programming. The course focuses on teaching the fundamentals of C++, followed by exploring powerful abstractions that C++ enables. This course focuses on using abstractions as well as building abstractions.",Term 2,Sydney,Faculty of Engineering
COMP6841,Extended Security Engineering and Cyber Security,6 Units of Credit,"In this introductory cybersecurity course we look at Security Engineering – the engineering principles behind designing, monitoring, and maintaining security in the face of an adversary.  We explore selected case studies and examine the practical principles behind effective security. We introduce the fundamental ideas of security and then we look at how these are applied in current cyber security practice. We will pay particular attention to systems which fail and the importance of thinking like an attacker. This course involves analysis, critical thinking and design. A cunning and devious mind will be an asset. Although our main concern is cybersecurity, the engineering principles we cover apply to security more generally.",Term 2,Sydney,Faculty of Engineering
COMP6843,Extended Web Application Security and Testing,6 Units of Credit,Web applications are currently the predominant source of software vulnerabilities exploited in in online attacks. There is a growing need and growing demand for web programmers to be security aware.,Term 1,Sydney,Faculty of Engineering
COMP6845,Extended Digital Forensics and Incident Response,6 Units of Credit,"The subject of Digital Forensics is a blend of technical expertise, legal procedures for an expert witness, persuasive report writing and your performance in the theatre of court. This course covers both forensic theory / professional practice, and looking at the underlying engineering of hiding, finding, interpreting and responding to traces. Students will use of standard forensic tools to extract, carve and analyse data as well as learning the low-level technical skills and knowledge underlying them. Students will also be introduced to advanced topics such as Cloud Forensics and latest anti-forensics techniques.",Term 3,Sydney,Faculty of Engineering
COMP6991,Solving Modern Programming Problems with Rust,6 Units of Credit,"This course aims to provide commentary and critique on the practice of programming, and the tooling used to program (primarily programming languages themselves). A variety of programming concepts across many programming languages are examined, including: syntax, typing, polymorphism, documentation, testing, meta-programming, concurrency, parallelism, safety, and more. The Rust programming language is used as a reference language to teach considerations behind these concepts. As a language commonly cited to be well-considered, it serves as a good foundation to help students understand where countless other languages may let them down. Lectures will compare and contrast Rust with other languages, but will also discuss where Rust can similarly let students down.",Term 2,Sydney,Faculty of Engineering
COMP9032,Microprocessors and Interfacing,6 Units of Credit,"This course introduces the students to the basics of microprocessors. It covers microprocessor architecture, assembly laguage programming, I/O interfacing and microprocessor applications. By taking this course, students gain a deep understanding of microprocessor architecture, programming techniques, and the skills required to interface microprocessors with a range of devices, which is valuable for careers in embedded systems, hardware design, firmware development, and other fields where the integration of microprocessors with external systems is essential.",Term 3,Sydney,Faculty of Engineering
COMP9044,Software Construction: Techniques and Tools,6 Units of Credit,"Software system decomposition and design. Overview of the software development life-cycle. Command languages. Version control and configuration management, programming for reliability. Testing and debugging techniques. Profiling and code improvement techniques. Practical work involving programming-in-the-large.","Term 1, Term 2",Sydney,Faculty of Engineering
COMP9101,Algorithm Design and Analysis,6 Units of Credit,"How would you convince a colleague that your program is correct, and that theirs is flawed?
How do you estimate how long a program will run for, and design test cases to find bugs?
Can all problems be solved efficiently, or are some problems ""too hard""?","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9102,Programming Languages and Compilers,6 Units of Credit,"This subject focusses on basic compiler techniques needed to implement programming languages in a virtual machine (with emphasis on the compiler front end). By writing a compiler in Java to translate a variant of C into Java bytecode, you are also expected to gain a good understanding of important fundamental principles in object-oriented programming languages and develop further your programming and software engineering skills.",Term 1,Sydney,Faculty of Engineering
COMP9153,Algorithmic Verification,6 Units of Credit,"This course replaces COMP4151, students can not receive credit for both.",Term 3,Sydney,Faculty of Engineering
COMP9154,Foundations of Concurrency,6 Units of Credit,"Concurrency = processes + communication. Communication via shared variables vs message passing. Models of concurrency: true concurrency vs interleaving. Abstractions: atomicity, locks and barriers, semaphores, monitors, threads, RPC, rendezvous. Classical problems: mutual exclusion, dining philosophers, sleeping barber, termination detection, gravitational N-body problem.Practical work: programming assignments and proving of of program safety and liveness properties.",,Sydney,Faculty of Engineering
COMP9164,Concepts of Programming Languages,6 Units of Credit,"This course discusses and relates a range of programming language concepts and paradigms, including imperative, object-oriented, functional, concurrent & parallel programming. It covers the theoretical foundations (syntax, operational, axiomatic and denotational semantics) as well as practical development and implementation aspects (dynamic and strong typing, polymorphism, overloading, automatic memory management, and concurrency). Due to the course topics, a variety of programming languages will be studied and used. Assignments will be in the programming language Haskell, but no previous knowledge of Haskell is assumed.",Term 3,Sydney,Faculty of Engineering
COMP9201,Operating Systems,6 Units of Credit,"Operating systems are an essential part of computer systems, so a course on operating systems is an essential part of any computer science or computer engineering program. This course provides an in-depth understanding of the underlying operating systems that students have implicitly relied upon when developing applications in the foundational courses within Computer Science and Engineering. The knowledge gained will continue to be relevant to your future career when developing systems and applications.",Term 2,Sydney,Faculty of Engineering
COMP9211,Computer Architecture,6 Units of Credit,"Computer architecture plays a crucial role in defining and bridging the interface between hardware and software in a computer system. It serves as the foundation upon which both hardware and software components are designed and interact with each other. A study of computer architecture complements the study of programming language and algorithm, compiler, and operating system on the software side of the interface, and the study of embedded system, FPGA and VLSI design on the hardware side of the interface.",Term 2,Sydney,Faculty of Engineering
COMP9222,Digital Circuits and Systems,6 Units of Credit,This course teaches students the fundamentals of digital design.,Term 1,Sydney,Faculty of Engineering
COMP9242,Advanced Operating Systems,6 Units of Credit,"The course provides students with a deep understanding of modern operating system technology, implementation techniques and research issues.",Term 3,Sydney,Faculty of Engineering
COMP9243,Distributed Systems,6 Units of Credit,"A detailed coverage of distributed systems, with a particular focus on operating systems issues: client-server paradigm, remote-procedure call as OS support for client-server; distributed shared memory, distributed memory coherency; distributed file systems; distributed process management, including load sharing and process migration; concurrency control; fault tolerance, recoverability and distributed transactions; naming; industry standards; case studies.",,Sydney,Faculty of Engineering
COMP9283,Extended Operating Systems,6 Units of Credit,"Operating systems are an essential part of computer systems, so a course on operating systems is an essential part of any computer science or computer engineering program. This course provides an in-depth understanding of the underlying operating systems that students have implicitly relied upon when developing applications in the foundational courses within Computer Science and Engineering. The knowledge gained will continue to be relevant to your future career when developing systems and applications.",Term 2,Sydney,Faculty of Engineering
COMP9312,Data Analytics for Graphs,6 Units of Credit,"Graphs are ubiquitous and are widely used to capture relationships between different entities in real-world applications. However, compared with traditional sequential data (e.g. text and audio), the unstructured property and the sparsity make processing big graphs very challenging. The course will introduce a series of data structures and algorithms for graph processing in terms of database (i.e., big data) and deep learning. Fundamental methods and the state-of-the-art research works will be integrated. The course will serve as a launching pad for those interested in graph analytics, big data processing and graph neural networks.","Term 2, Term 3",Sydney,Faculty of Engineering
COMP9313,Big Data Management,6 Units of Credit,"This course introduces the core concepts and technologies involved in managing Big Data. It will first introduce the characteristics of big data and big data analysis. Then, we will learn the open-source big data management framework Hadoop. We will mainly focus on Hadoop MapReduce programming. YARN, HDFS, HBase, and Hive will be briefly introduced as well. We will also learn an open-source memory-based distributed computing framework Spark. Another major focus of this course is algorithm design on large-scale data sets based on big data management frameworks, in various domains such as data stream mining, graph data processing, and finding similar items.","Term 2, Term 3",Sydney,Faculty of Engineering
COMP9315,Database Systems Implementation,6 Units of Credit,"This course aims to introduce students to the detailed internal structure of database management systems (DBMSs) such as Oracle or SQL Server. DBMSs contain a variety of interesting data structures and algorithms that are also potentially useful outside the DBMS context; knowing about them is a useful way of extending your general programming background. While the focus is on relational DBMSs, given that they have the best-developed technological foundation, we will also consider more recent developments in the management of large data repositories.",Term 1,Sydney,Faculty of Engineering
COMP9319,Web Data Compression and Search,6 Units of Credit,"As the amount of Web data increases, it is becoming vital to not only be able to search and retrieve this information quickly, but also to store it in a compact manner. This is especially important for mobile devices which are becoming increasingly popular. Without loss of generality, within this course, we assume Web data (excluding media content) will be in XML and its like (e.g., HTML, JSON).",Term 2,Sydney,Faculty of Engineering
COMP9321,Data Services Engineering,6 Units of Credit,"This course aims to introduce the student to core concepts and practical skills for engineering the data in Web-service-oriented data-driven applications. Specifically, the course aims to expose students to basic infrastructure for building data services on the Web, including techniques to access and ingest data in internal/external sources, develop software services to curate (e.g. extract, transform, correct, aggregate the data), develop services to apply various analytics and develop services to visualize the data to communicate effectively using data. The course uses the Python programming language as the practical basis for its modules. However, the concepts taught are universal and can be applied to any other web development language/framework.","Term 1, Term 3",Sydney,Faculty of Engineering
COMP9332,Network Routing and Switching,6 Units of Credit,,,Sydney,Faculty of Engineering
COMP9333,Advanced Computer Networks,6 Units of Credit,"We study network protocols and architectures used in data centres, software-defined networking and content distribution networks. We also study network security, network measurements and network models. The course consists of both a reading/lecture/discussion component and a project component. We will read research papers on recent topics in computer networking. Students are expected to carry out a research project including analysis, design, and implementation (when appropriate) on a novel subject. The projects can be one of the following types: algorithm design applied to networked system, implementation of a novel networking system, measurement of existing network protocols, and simulation of a proposed network algorithm.",,Sydney,Faculty of Engineering
COMP9334,Capacity Planning of Computer Systems and Networks,6 Units of Credit,"We live in a world that events do not happen instantly. It takes a certain amount of time to download a video from a server to your own mobile device. It takes a certain amount of time for a computer to finish the execution of an algorithm. The time to completion (or response time in performance analysis terminology) is a performance metric that computer scientists and computer engineers should be concerned about because no one wants to wait unnecessarily. If you can understand the factors that determine the response time, then you can influence those factors so that the response time becomes acceptable. This course will take a mathematical modelling and analytical approach to understand response time in computer systems and networks. The primary goal is to explore how mathematical modelling and mathematical methods can be used to model, analyse and design computer systems and networks so that they have good performance. There are three major topics that will be covered by this course:",Term 1,Sydney,Faculty of Engineering
COMP9336,Mobile Data Networking,6 Units of Credit,"First course in wireless and mobile networking examining the fundamental theories as well as the latest advances in wireless data and mobile communication networks. Topics include fundamental concepts in wireless coding, modulation, and signal propagation, WiFi and wireless local area networks, cellular networks, Bluetooth, and Internet of Things networks. The course will also overview some of the emerging wireless networking concepts, such as wireless sensing, and droneassisted mobile networks. Hands-on experiments with mobile devices will be part of the learning exercise, which involves wireless packet capture, analysis, and programming.",,Sydney,Faculty of Engineering
COMP9337,Securing Fixed and Wireless Networks,6 Units of Credit,"With the exponential growth of the Internet, the security of a network has become increasingly challenging. This subject will explore the security vulnerabilities in both fixed and wireless networks and cover the fundamental concepts and advanced issues with an emphasis on Internet architecture and protocols.",Term 1,Sydney,Faculty of Engineering
COMP9414,Artificial Intelligence,6 Units of Credit,"COMP9414 is a foundational course on Artificial Intelligence covering fundamental topics such as autonomous agents, problem solving, optimisation, logic, knowledge representation, reasoning under uncertainty, vision, language processing, machine learning, neural networks and reinforcement learning. The course is taught with an orientation towards machine learning and with a view to practical applications of Artificial Intelligence using Python. Some AI applications that make use of foundational concepts will be demonstrated in lectures and tutorials.","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9415,Computer Graphics,6 Units of Credit,"In this course, you will delve into the fundamentals and practical aspects of Computer Graphics by working with game engines. You will gain knowledge and skills in developing 2D, 3D, and Virtual Reality-based graphical objects and environments using game engines including Unreal Engine and Unity. Additionally, you will understand computer graphics concepts, including lighting, reflection, static meshes, 2D Transforms, 3D Transforms, surface, texture maps, materials, cameras, object physical behaviors, collision detection, hierarchical modeling of objects, shaders, and rendering.",Term 3,Sydney,Faculty of Engineering
COMP9417,Machine Learning,6 Units of Credit,"Machine learning is the algorithmic approach to learning from data. The course also covers aspects of data mining, the application of machine learning to obtain insight from data. In this course machine learning algorithms are placed in the context of their theoretical foundations in order to understand their derivation and correct application. Machine learning also is an empirical science, where performance of algorithms must be rigorously evaluated on datasets. Completion of this course will contribute to further learning in advanced topics such as deep learning, bioinformatics, computer vision, and robotics. Topics covered in the course include: linear models for regression and classification, local methods (nearest neighbour), tree learning, kernel machines, neural networks, unsupervised learning, ensemble learning, and learning theory. To expand and extend the development of theory and algorithms presented in lectures, practical examples will be given in tutorials and programming tasks during the project.","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9418,Advanced Machine Learning,6 Units of Credit,"This course presents an in-depth study of statistical machine learning approaches. It aims to provide the student with a solid understanding of methods for learning and inference in structured probabilistic models, with a healthy balance of theory and practice. It will cover topics on the semantics of direct and undirected representations in probabilistic graphical models, exact and approximate inference, and learning of model parameters and structure.",Term 2,Sydney,Faculty of Engineering
COMP9434,Robotic Software Architecture,6 Units of Credit,"An introduction to Intelligent agent design. Picking actions using planning, learning or engineered control. Both practical and theoretical components. Practical component: Re-implement parts of a real agent architecture on a robot. Assignment based. Emphasis on engineering a working system. Theoretical component: Introduction to a variety of research agent architectures including classical planning and reinforcement learning. Lecture and lab based.",Term 3,Sydney,Faculty of Engineering
COMP9444,Neural Networks and Deep Learning,6 Units of Credit,"Neural networks and deep learning play a critical role in pushing the boundaries of what AI can achieve, making them indispensable for various industries and applications. Their ability to learn and adapt from data has revolutionised many fields and opened up new opportunities for solving complex problems. This course provides an introduction to and deep exploration of neural networks and deep learning principles and practice.","Term 2, Term 3",Sydney,Faculty of Engineering
COMP9447,Security Engineering Workshop,6 Units of Credit,"Applied workshop in an emerging area in cyber security.   The course is supervised and taught by relevant academics and/or industry experts in the field.  Areas vary depending on the availability of subject domain experts from time to time.  Examples of relevant areas include: Cloud Security, Cryptanalysis on commercial products, mainframe security audit and penetration testing.",Term 3,Sydney,Faculty of Engineering
COMP9511,Human Computer Interaction,6 Units of Credit,,Term 1,Sydney,Faculty of Engineering
COMP9491,Applied Artificial Intelligence,6 Units of Credit,"This course presents some advanced topics in various aspects of artificial intelligence such as computer vision, speech and language processing, deep learning, and knowledge representation and reasoning. The course aims to integrate these various aspects of AI and present case studies where such integration of different methodologies delivers interesting applications. Project development is the major component of this course, to develop a solution to a practical or industry-based problem that requires an integration of more than one type of AI techniques ranging from symbolic AI (e.g. knowledge representation and reasoning) to deep learning, with example applications in computer vision, speech and language processing, etc. Assessment is based on group project development.",,Sydney,Faculty of Engineering
COMP9517,Computer Vision,6 Units of Credit,"Computer vision is the interdisciplinary scientific field that develops theories and methods allowing computers to extract high-level information from digital images or videos. From an engineering perspective it seeks to automate perceptual tasks normally performed by the human visual system. Generally, vision is difficult because it is an inverse problem, where only insufficient information is available about the objects of interest in the image data. Physics-based mathematical and statistical models as well as machine-learning methods are used to assist in the task. Current real-world applications are wide-ranging, and include optical character recognition, machine inspection, retail object recognition, 3D model building, remote sensing, medical imaging, autonomous driving, motion capture, surveillance, face recognition, biometrics, and many others. This course provides an introduction to fundamental concepts and an opportunity to develop a real-world application of computer vision.","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9727,Recommender Systems,6 Units of Credit,"Recommender systems are information filtering and search tools for providing personalized user interaction and navigation through a complex space of products or services. The aim is to address information overload by providing users with items that better meet their needs and support their decision making. Recommender systems are important commercial tools that are widely used by e-commerce and social media companies to drive sales and user engagement. This course will cover the basic types of recommender system, the main recommendation algorithms, and machine learning and natural language processing techniques used to support recommender systems.",Term 2,Sydney,Faculty of Engineering
COMP9814,Extended Artificial Intelligence,6 Units of Credit,,,Sydney,Faculty of Engineering
COMP9920,Ethics of Computer Science and Engineering,6 Units of Credit,"In this course we will explore ethical issues for computer science, widely conceived. We will examine in detail the nature of ethical claims/moral judgements themselves, and how it is that our beliefs about their nature can affect our understanding of the ethical issues relating to computer science that we have examined so far. We will learn about ethical arguments, and how to construct and evaluate them.","Term 1, Term 3",Sydney,Faculty of Engineering
GSOE9210,Engineering Decision Structures,6 Units of Credit,How should one go about choosing a course of action when the consequences at stake are serious?,Term 3,Sydney,Faculty of Engineering
GSOE9220,Launching a Startup,6 Units of Credit,"This course aims to provide students with the skills necessary to start and grow a startup idea. Whilst some aspects of entrepreneurship can be learned from case studies, research on entrepreneurship education has shows that a learn-by-doing approach is most effective. During the course students form teams, identify potential business opportunities and utilise enquiry based learning to assess the viability of their business model. Each team will receive deep mentor engagement along the way. Students will also gain access to comprehensive resources designed to accelerate learning and ensure that they are equipped with the tools to become successful entrepreneurs. Students studying this course will access the minds of successful, highly articulate and innovative entrepreneurs (guest speakers) who live and breathe business. Thinking innovatively, creating a business, and developing a team are core entrepreneurial skills that the course teaches.",,Sydney,Faculty of Engineering
MATH5836,Data and Machine Learning,6 Units of Credit,"A wide range of statistical methods and computational tools have been developed in the past few decades to gather information from data. This postgraduate course covers the key techniques in data mining and machine learning with theoretical background and applications, delivered through a series of lectures and tutorials.The topics include methods such as linear and logistic regression, neural networks, Bayesian neural networks, clustering and dimensionality reduction, ensemble learning, and an introduction to deep learning. Emerging machine learning tools and libraries are used to illustrate the methods in programming environments that include Python and R.",Term 3,Sydney,Faculty of Science
MATH5845,Time Series,6 Units of Credit,The course is concerned with the theory and application of appropriate statistical techniques for analysis of time series data -- data collected over time. The course will help students develop a sound understanding of stationary and non-stationary time series models and their properties in discrete time. The topics include the theory of stationary time series; methods for trend and seasonal analysis and adjustment; modelling and forecasting with autoregressive moving average processes; modelling the impact of exogenous or intervention variables on responses; models for stochastic volatility and long-term dependence; regression models for time series. Applications are primarily drawn from finance and public health and the R software environment is used to perform appropriate analyses for numerical examples.,Term 2,Sydney,Faculty of Science
MATH5855,Multivariate Analysis,6 Units of Credit,The course gives a methodological background in multivariate analysis as a backbone of Applied Statistics. It introduces multivariate techniques including principal component analysis; canonical correlation analysis; cluster analysis; factor analysis and discriminant analysis. Computing and data analysis features prominently in this course.,Term 3,Sydney,Faculty of Science
MATH5905,Statistical Inference,6 Units of Credit,"This postgraduate course presents general inference theory based on maximum likelihood and on Bayes methods. Estimation, confidence set construction, and hypothesis testing are discussed within decision-theoretic framework. Computationally intensive methods such as bootstrap are also discussed and are compared to asymptotic approximations such as saddlepoint and empirical likelihood.","Term 1, Term 2, Term 3",Sydney,Faculty of Science
